disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D003424	genus	209879	125	0.234599482	0.11982	0.303050281
D003424	genus	123375	123	0.171894117	0.024480002	0.357298207
D003424	genus	2895461	123	0.016000803	0.004810001	0.036216571
D003424	genus	1243	121	0.245133223	0.033938571	0.872632902
D003424	genus	86331	121	0.22498479	0.019378343	0.592365462
D003424	genus	1283313	121	0.518716987	0.253108837	0.878704722
D003424	genus	420345	120	0.023552017	0.016100625	0.025341352
D003424	genus	52784	113	0.085512403	0.007743287	0.537851978
D003424	genus	2172	112	0.64516443	0.215138767	1.81214241
D003424	genus	581	110	1.134142683	0.211289967	2.758518617
D003424	genus	1918538	109	0.302901625	0.090589973	0.502918877
D003424	genus	1929297	109	0.012185985	0.006150001	0.016602
D003424	genus	2023266	109	0.242517851	0.070830014	0.50499727
D003424	genus	544	108	1.064205629	0.155650752	4.776978941
D003424	genus	1716	102	0.180845609	0.035565618	0.413058893
D003424	genus	2918511	102	0.017018554	0.005862401	0.028757962
D003424	genus	547	101	1.664192771	0.082511939	8.051373342
D003424	genus	150022	99	0.955949527	0.096893357	2.128133391
D003424	genus	2944148	99	0.019792865	0.009763549	0.026625741
D003424	genus	1253	98	1.407936255	0.212114963	3.120311994
D003424	genus	1505652	97	0.437997798	0.181863272	1.156940599
D003424	genus	543311	96	0.498273163	0.09298091	1.310825986
D003424	genus	2316203	96	0.027255759	0.02291981	0.038193127
D003424	genus	1686313	95	1.263364647	0.150357098	3.010320123
D003424	genus	1924105	95	0.163186552	0.046260037	0.317769404
D003424	genus	1987016	94	0.09041116	0.009365004	0.265351928
D003424	genus	1918450	93	0.018141557	0.006849996	0.033667007
D003424	genus	1380	90	0.619700205	0.125468157	1.49493474
D003424	genus	2005525	89	0.213642584	0.118920794	0.304965713
D003424	genus	196081	88	0.27973734	0.007909999	1.322907242
D003424	genus	508459	87	0.158392822	0.016842249	0.32144786
D003424	genus	1903506	87	0.350277734	0.121749988	0.512766743
D003424	genus	404402	86	0.222801275	0.038493147	0.389874047
D003424	genus	2944152	86	1.134582795	0.209830042	2.704347195
D003424	genus	1912216	85	0.115390247	0.028079994	0.285001723
D003424	genus	1470349	84	0.107184495	0.030152462	0.217110939
D003424	genus	1870884	82	0.357676074	0.118482881	0.678804229
D003424	genus	1935176	82	0.029758666	0.012900719	0.046801848
D003424	genus	482	79	0.772641504	0.462357149	1.342794464
D003424	genus	580024	77	0.138653678	0.056377146	0.163784147
D003424	genus	133925	72	0.329266328	0.122456356	0.47221012
D003424	genus	248744	72	0.1816324	0.019050216	0.568921254
D003424	genus	1906119	72	0.203372132	0.134901751	0.22138039
D003424	genus	1926556	72	0.184464016	0.041204158	0.473659805
D003424	genus	2717089	71	0.18671989	0.034460003	0.383995485
D003424	genus	46255	67	1.92034177	0.075610023	10.02104867
D003424	genus	2749846	66	0.244797732	0.027315003	0.635696243
D003424	genus	2767353	65	0.155772362	0.008210001	0.652524863
D003424	genus	469	64	1.08612836	0.146845867	1.797359077
D003424	genus	2038676	63	0.126197122	0.01746366	0.325044776
D003424	genus	31977	62	1.543313643	0.222245955	4.301751497
D003424	genus	2678884	62	0.016343648	0.007657645	0.027140104
D003424	genus	1935200	61	0.098752311	0.009691049	0.186204507
D003424	genus	119852	60	0.089721393	0.004889262	0.180966696
D003424	genus	184869	60	0.256922332	0.094808397	0.3497482
D003424	genus	1774128	60	0.044965292	0.003990001	0.137180013
D003424	genus	172900	57	0.06188753	0.028680009	0.120478272
D003424	genus	2944196	57	1.774227113	0.128889974	4.661076328
D003424	genus	2944146	56	0.025983808	0.009911185	0.034041492
D003424	genus	2740	54	0.286564183	0.067792329	0.678360397
D003424	genus	13687	54	1.390252782	0.240416565	2.762396264
D003424	genus	177971	54	0.107999589	0.004971925	0.456758421
D003424	genus	416916	54	0.17425347	0.045286354	0.3928354
D003424	genus	2749267	54	0.165939666	0.048060004	0.236101977
D003424	genus	32067	52	0.365166914	0.232856109	0.367822722
D003424	genus	180162	52	1.570807002	0.385069086	6.00388109
D003424	genus	3028852	52	0.037539029	0.001625436	0.084306983
D003424	genus	209	51	0.954298246	0.806933652	0.87660938
D003424	genus	419014	50	0.704636894	0.008149998	3.341313007
D003424	genus	265975	49	0.273233244	0.107028184	0.459553619
D003424	genus	1847725	49	0.237256183	0.077304352	0.37544176
D003424	genus	2126006	49	0.034482679	0.015687406	0.064770566
D003424	genus	2767885	49	0.221942216	0.044190004	0.563725726
D003424	genus	2789662	49	0.04166483	0.005889999	0.135008743
D003424	genus	84026	48	0.056770795	0.002855984	0.175855227
D003424	genus	2163168	48	0.374866565	0.180868173	0.730640746
D003424	genus	2696673	47	1.040797286	0.509871884	1.630629763
D003424	genus	1743	46	0.174985697	0.015195003	0.560591043
D003424	genus	2701	46	0.51398913	0.055516443	1.998019097
D003424	genus	846	45	0.090731229	0.052011096	0.10845682
D003424	genus	2494213	45	0.608242084	0.210720042	0.972399646
D003424	genus	1582879	44	0.208190969	0.127675603	0.283950091
D003424	genus	2767842	44	1.44567639	0.09407999	4.532711486
D003424	genus	579	43	0.440076506	0.19843002	0.800526737
D003424	genus	46123	43	0.401311946	0.041630012	0.781469607
D003424	genus	1928820	43	0.009812515	0.003199998	0.014355812
D003424	genus	156454	42	0.654090108	0.106865	1.541409816
D003424	genus	2944144	41	0.00573258	0.001620087	0.012494067
D003424	genus	2944194	41	0.138614919	0.081229959	0.186528057
D003424	genus	156973	40	1.617368041	0.316451804	2.541207074
D003424	genus	1161127	40	0.802702242	0.085780584	1.583322139
D003424	genus	1849822	40	0.405242265	0.307746208	0.281068812
D003424	genus	970	39	0.375717443	0.115660023	0.731852296
D003424	genus	1164882	36	0.270578189	0.16150505	0.58345759
D003424	genus	2944151	36	0.044843305	0.006577897	0.105078082
D003424	genus	76833	35	0.061603525	0.00585	0.220374311
D003424	genus	92793	35	0.240631453	0.081033173	0.285660762
D003424	genus	212791	35	0.185156607	0.167489422	0.162200386
D003424	genus	1331051	35	0.187187761	0.141606591	0.132415724
D003424	genus	1924081	35	0.106273327	0.046919995	0.117724405
D003424	genus	1016	34	0.582612257	0.244695257	1.375127536
D003424	genus	1892380	34	0.036139289	0.0063323	0.100352578
D003424	genus	2383	32	1.927510201	0.203983159	5.073918572
D003424	genus	638847	32	0.368771367	0.228463857	0.665880448
D003424	genus	2683202	32	0.207745798	0.073819978	0.248624469
D003424	genus	2813348	32	0.011401129	0.003504999	0.023146266
D003424	genus	568	31	0.544190052	0.214392911	0.913495047
D003424	genus	52225	31	4.167367119	0.233908695	11.95171625
D003424	genus	1980675	31	3.776259088	0.022010002	9.410753932
D003424	genus	28138	29	0.227457518	0.178382664	0.221910407
D003424	genus	1987748	29	0.430140153	0.178840036	0.594623487
D003424	genus	538	28	0.776940632	0.150478845	1.182925774
D003424	genus	2050	28	0.111061164	0.032037461	0.164637145
D003424	genus	109326	28	0.052979699	0.013163849	0.086186478
